especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
BDC28,ARS,48hs,114.1,115.0,114.85,-0.13,115.0,115.0,111.8,568485,639230.0,115.0,17:00:10,BONOS
CO26,ARS,CI,22700.0,23700.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
CO26,ARS,24hs,22100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
CO26,ARS,48hs,21350.0,23599.5,23399.0,-0.8,23100.0,23400.0,22501.0,511000,118102625.0,23587.0,17:00:19,BONOS
CO26D,MEP,CI,0.0,47.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
CO26D,MEP,48hs,45.3,46.25,46.25,0.0,46.25,46.5,46.25,502000,232384.0,46.25,17:00:10,BONOS
CUAP,ARS,CI,5100.0,5599.0,5300.0,-2.03,5400.0,5400.0,5300.0,5,268.0,5410.0,16:30:01,BONOS
CUAP,ARS,48hs,5100.0,5467.0,5468.0,-0.56,5500.0,5500.0,5319.0,4621,252313.0,5499.0,17:00:29,BONOS
DICP,ARS,CI,8084.0,8250.0,8250.0,-0.6,8050.5,8350.0,8050.0,6356,527088.0,8300.0,16:30:23,BONOS
DICP,ARS,48hs,8130.0,8240.0,8250.0,0.62,8300.0,8300.0,8000.0,90966,7462361.0,8199.0,17:00:23,BONOS
GD29,ARS,CI,17020.0,17399.5,17399.5,0.0,17869.5,17899.5,17000.5,37971,6634137.0,17400.0,16:30:26,BONOS
GD29,ARS,48hs,17100.0,17540.0,17400.0,1.75,17898.0,17898.0,17099.0,128801,22437991.0,17101.5,17:00:27,BONOS
GD29D,MEP,CI,34.3,44.6,34.92,2.24,34.92,34.92,34.18,3693,1285.0,34.16,16:30:17,BONOS
GD29D,MEP,48hs,25.81,39.0,35.3,0.28,35.16,35.7,34.15,29229,10210.0,35.2,17:00:23,BONOS
GD30,ARS,CI,17400.0,17530.0,17530.0,-1.24,17770.0,17770.0,17387.5,46451066,8148394220.0,17749.5,16:30:10,BONOS
GD30,ARS,24hs,17502.0,17600.0,17604.0,-1.18,17782.0,17782.0,17401.0,1061529,187165447.0,17815.0,17:00:14,BONOS
GD30,ARS,48hs,14600.0,18000.0,17575.0,-1.1,17990.0,17999.0,17458.5,47682414,8391560371.0,17770.0,17:00:16,BONOS
GD30C,CCL,CI,31.0,40.0,34.03,-2.77,36.5,36.5,33.0,384797,133176.0,35.0,16:30:28,BONOS
GD30C,CCL,48hs,33.0,35.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
GD30D,MEP,CI,20.75,36.5,35.53,-1.05,35.5,35.88,34.9,36128449,12804350.0,35.91,16:30:23,BONOS
GD30D,MEP,24hs,35.01,35.2,35.2,-2.12,35.8,36.0,35.2,388789,138023.0,35.96,17:00:22,BONOS
GD30D,MEP,48hs,25.76,36.5,35.85,-1.65,36.0,36.25,35.27,36917885,13227912.0,36.45,17:00:24,BONOS
