especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
YMCIO,ARS,CI,46700.0,-1.66,46500.0,47490.0,16:30:24,ONS
YMCIO,ARS,48hs,46800.0,-0.64,47700.0,47100.0,17:00:20,ONS
YMCJD,MEP,CI,0.0,0.0,0.0,0.0,,ONS
YMCJD,MEP,48hs,83.0,0.18,84.0,82.85,17:00:11,ONS
YMCJO,ARS,CI,40000.0,-1.23,40500.0,40500.0,16:30:20,ONS
YMCJO,ARS,48hs,39600.0,-0.75,40000.0,39900.0,17:00:13,ONS
YMCNO,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
YMCOD,MEP,48hs,0.0,0.0,0.0,0.0,,ONS
YMCQD,MEP,CI,93.9,-1.16,93.9,95.0,16:30:11,ONS
YMCQD,MEP,48hs,88.84,0.38,89.5,88.5,17:00:27,ONS
YMCQO,ARS,CI,44250.0,2.91,44200.0,43000.0,16:30:01,ONS
YMCQO,ARS,48hs,42390.0,0.33,42899.0,42250.0,17:00:21,ONS
YPCUD,MEP,CI,0.0,0.0,0.0,0.0,,ONS
YPCUD,MEP,48hs,42.5,1.8,42.15,41.75,17:00:24,ONS
YPCUO,ARS,CI,20140.5,-0.79,20140.5,20300.0,16:30:29,ONS
YPCUO,ARS,48hs,20250.0,-0.2,20290.0,20290.0,17:00:15,ONS
