especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
LEDE,ARS,48hs,300.0,0.0,308.0,300.0,17:00:01,MERVAL
LONG,ARS,CI,0.0,0.0,0.0,0.0,,MERVAL
LONG,ARS,48hs,19.8,1.8,19.8,19.45,17:00:01,MERVAL
METR,ARS,CI,234.5,-0.53,232.0,235.75,16:30:00,MERVAL
METR,ARS,48hs,230.25,-0.75,232.0,232.0,17:00:01,MERVAL
MOLA,ARS,CI,0.0,0.0,0.0,0.0,,MERVAL
MOLA,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
MOLA,ARS,48hs,6715.0,4.48,6600.0,6427.0,17:00:01,MERVAL
MOLI,ARS,CI,650.0,2.69,665.0,633.0,16:30:00,MERVAL
MOLI,ARS,48hs,652.5,1.56,665.0,642.5,17:00:01,MERVAL
MORI,ARS,CI,39.9,4.59,39.9,38.15,16:30:00,MERVAL
MORI,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
MORI,ARS,48hs,38.95,0.13,39.7,38.9,17:00:01,MERVAL
MTR,ARS,CI,610.0,0.08,610.0,609.5,16:30:00,MERVAL
MTR,ARS,48hs,619.0,0.65,620.0,615.0,17:00:01,MERVAL
OEST,ARS,48hs,218.25,1.51,215.0,215.0,17:00:01,MERVAL
PATA,ARS,CI,0.0,0.0,0.0,0.0,,MERVAL
PATA,ARS,48hs,260.5,2.16,255.0,255.0,17:00:01,MERVAL
POLL,ARS,48hs,0.0,0.0,0.0,0.0,,MERVAL
RICH,ARS,CI,513.5,1.48,520.0,506.0,16:30:00,MERVAL
RICH,ARS,48hs,515.0,0.0,522.0,515.0,17:00:01,MERVAL
RIGO,ARS,48hs,580.0,0.0,580.0,580.0,15:00:00,MERVAL
ROSE,ARS,48hs,22.0,-2.22,22.0,22.5,15:05:32,MERVAL
SAMI,ARS,CI,331.0,4.09,330.0,318.0,16:30:00,MERVAL
SAMI,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
SAMI,ARS,48hs,334.0,3.57,323.0,322.5,17:08:34,MERVAL
SEMI,ARS,CI,61.4,9.64,58.8,56.0,16:30:00,MERVAL
SEMI,ARS,48hs,55.7,-2.11,57.0,56.9,17:00:01,MERVAL
