especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
FDX,ARS,48hs,12899.5,0.39,12563.5,12850.0,17:00:01,CEDEARS
FDXD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
FDXD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
FSLR,ARS,CI,34000.0,8.45,32300.0,31350.0,16:30:00,CEDEARS
FSLR,ARS,48hs,33000.0,1.4,33700.0,32544.5,17:00:01,CEDEARS
GE,ARS,CI,7185.0,4.36,6721.0,6885.0,16:30:00,CEDEARS
GE,ARS,24hs,6792.0,-0.99,6792.0,6860.0,17:00:00,CEDEARS
GE,ARS,48hs,7071.0,0.34,6971.0,7047.0,17:00:01,CEDEARS
GED,MEP,48hs,14.5,3.2,14.3,14.05,17:00:01,CEDEARS
GFI,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
GFI,ARS,48hs,7096.0,-0.49,7400.0,7131.0,17:00:01,CEDEARS
GGB,ARS,CI,10840.5,0.47,10840.5,10789.5,16:30:00,CEDEARS
GGB,ARS,48hs,10869.5,1.3,11066.0,10730.5,17:00:01,CEDEARS
GGBD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
GILD,ARS,CI,9526.0,-0.33,9601.0,9558.0,16:30:00,CEDEARS
GILD,ARS,48hs,9600.5,-2.82,9818.5,9879.0,17:00:01,CEDEARS
GILDD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
GLOB,ARS,CI,5229.0,1.55,5341.0,5149.0,16:30:00,CEDEARS
GLOB,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
GLOB,ARS,48hs,5251.5,2.45,5200.0,5126.0,17:00:01,CEDEARS
GLOBD,MEP,CI,10.2,-12.82,10.6,11.7,16:30:00,CEDEARS
GLOBD,MEP,48hs,10.9,3.81,10.2,10.5,17:00:01,CEDEARS
GLW,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
GLW,ARS,48hs,4452.0,0.87,4413.5,4413.5,17:00:01,CEDEARS
GM,ARS,CI,3300.0,0.02,3300.0,3299.5,16:30:00,CEDEARS
