tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
CEDEARS;ERJ;ERJD;ERJC;ERJ;Embraer-Empresa Brasileira de Aeronautica S.A.;NYSE;1;True
CEDEARS;MMM;MMMD;MMMC;MMM;3M Company;NYSE;5;True
CEDEARS;WFC;WFCD;WFCC;WFC;Wells Fargo & Co.;NYSE;5;True
CEDEARS;JD;JDD;JDC;JD;Jd.Com Inc.;NASDAQ;2;True
CEDEARS;TEFO;;;TEF;Telefonica S.A.;NYSE;8;True
CEDEARS;ITUB;ITUBD;ITUBC;ITUB;Itau Unibanco Holding S.A.;NYSE;1;True
CEDEARS;VZ;VZD;VZC;VZ;Verizon Communications Inc.;NYSE;2;True
CEDEARS;GE;GED;GEC;GE;General Electric Co.;NYSE;8;True
CEDEARS;MO;MOD;MOC;MO;Altria Group Inc.;NYSE;4;True
CEDEARS;MCD;MCDD;MCDC;MCD;Mcdonald'S Corp.;NYSE;0;True
CEDEARS;WBA;WBAD;WBAC;WBA;Walgreens Boots Alliance Inc.;NASDAQ;3;True
CEDEARS;HD;HDD;HDC;HD;The Home Depot Inc.;NYSE;32;True
CEDEARS;AZN;AZND;AZNC;AZN;Astrazeneca Plc;NYSE;2;True
CEDEARS;ERIC;ERICD;ERICC;ERIC;Lm Ericsson Telephone Co.;NASDAQ;2;True
CEDEARS;COST;COSTD;COSTC;COST;Costco Wholesale Corp;NASDAQ;48;True
CEDEARS;V;VD;VC;V;Visa Inc;NYSE;18;True
CEDEARS;HSY;HSYD;;HSY;The Hershey Company;NYSE;21;True
CEDEARS;CDE;;;CDE;Coeur Mining Inc.;NYSE;1;True
CEDEARS;CVX;CVXD;CVXC;CVX;Chevron Corp.;NYSE;8;True
CEDEARS;TWLO;TWLOD;TWLOC;TWLO;Twilio Inc;NYSE;36;True
CEDEARS;TSM;TSMD;TSMC;TSM;Taiwan Semiconductor Manufacturing;NYSE;9;True
CEDEARS;SPOT;SPOTD;SPOTC;SPOT;Spotify Technology S.A.;NYSE;28;True
CEDEARS;NFLX;NFLXD;NFLXC;NFLX;Netflix Inc.;NASDAQ;16;True
CEDEARS;SQ;SQD;SQC;SQ;Square Inc.;NYSE;20;True
CEDEARS;TRIP;TRIPD;TRIPC;TRIP;Tripadvisor Inc.;NASDAQ;2;True
CEDEARS;CAT;CATD;CATC;CAT;Caterpillar Inc;NYSE;20;True
CEDEARS;TXR;TXRD;TXRC;TX;Ternium S.A.;NYSE;2;True
CEDEARS;CRM;CRMD;CRMC;CRM;Salesforce Inc.;NYSE;18;True
CEDEARS;BA;BAD;BAC;BA;The Boeing Company;NYSE;6;True
CEDEARS;BIDU;BIDUD;BIDUC;BIDU;Baidu Inc.;NASDAQ;11;True
CEDEARS;BNG;BNGD;BGNC;BG;Bunge Limited;NYSE;5;True
CEDEARS;DOCU;DOCUD;DOCUC;DOCU;DocuSign Inc.;NASDAQ;22;True
