especie,nombre,ultimo,var,hora
BEEMW,Beam Global Warrant,$5.175,13.736%,2023-06-27 20:16:06.697
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$15.30,1.661%,2023-06-27 20:16:06.697
BELFA,Bel Fuse Inc. Class A Common Stock,$55.44,0.69%,2023-06-27 20:16:06.697
BELFB,Bel Fuse Inc. Class B Common Stock,$55.22,1.489%,2023-06-27 20:16:06.697
BEN,Franklin Resources Inc. Common Stock,$26.65,3.135%,2023-06-27 20:16:06.697
BENF,Beneficient Class A Common Stock,$2.74,-11.327%,2023-06-27 20:16:06.697
BENFW,Beneficient Warrant,$0.05,0.00%,2023-06-27 20:16:06.697
BEP,Brookfield Renewable Partners L.P. ,$29.46,0.068%,2023-06-27 20:16:06.697
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,$19.2999,-0.567%,2023-06-27 20:16:06.697
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,$31.92,0.188%,2023-06-27 20:16:06.697
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,$15.57,1.104%,2023-06-27 20:16:06.697
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,$16.68,0.361%,2023-06-27 20:16:06.697
BERY,Berry Global Group Inc. Common Stock,$64.22,2.392%,2023-06-27 20:16:06.697
BEST,BEST Inc. American Depositary Shares each representing twenty (20) Class A Ordinary Shares,$2.13,0.948%,2023-06-27 20:16:06.697
BF/A,Brown Forman Corporation,$67.37,0.974%,2023-06-27 20:16:06.697
BF/B,Brown Forman Corporation,$66.12,1.039%,2023-06-27 20:16:06.697
BFAC,Battery Future Acquisition Corp. Class A Ordinary Shares,$10.59,0.095%,2023-06-27 20:16:06.697
BFAM,Bright Horizons Family Solutions Inc. Common Stock,$90.00,1.523%,2023-06-27 20:16:06.697
BFC,Bank First Corporation Common Stock,$82.93,-0.289%,2023-06-27 20:16:06.697
BFH,Bread Financial Holdings Inc. Common Stock,$30.29,2.124%,2023-06-27 20:16:06.697
BFI,BurgerFi International Inc. Common Stock ,$1.57,-4.268%,2023-06-27 20:16:06.697
BFIIW,BurgerFi International Inc. Warrant ,$0.135,-0.074%,2023-06-27 20:16:06.697
BFIN,BankFinancial Corporation Common Stock,$8.06,1.384%,2023-06-27 20:16:06.697
BFK,BlackRock Municipal Income Trust,$9.97,0.504%,2023-06-27 20:16:06.697
BFLY,Butterfly Network Inc. Class A Common Stock,$2.09,3.465%,2023-06-27 20:16:06.697
BFRG,Bullfrog AI Holdings Inc. Common Stock,$3.65,-0.545%,2023-06-27 20:16:06.697
BFRGW,Bullfrog AI Holdings Inc. Warrants,$0.799,7.696%,2023-06-27 20:16:06.697
BFRI,Biofrontera Inc. Common Stock,$0.52,-1.794%,2023-06-27 20:16:06.697
BFRIW,Biofrontera Inc. Warrants,$0.11,8.268%,2023-06-27 20:16:06.697
BFS,Saul Centers Inc. Common Stock,$36.32,-0.22%,2023-06-27 20:16:06.697
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,$21.9706,-2.135%,2023-06-27 20:16:06.697
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,$21.9074,-0.194%,2023-06-27 20:16:06.697
BFST,Business First Bancshares Inc. Common Stock,$15.32,-0.519%,2023-06-27 20:16:06.697
BFZ,BlackRock California Municipal Income Trust,$11.83,-0.169%,2023-06-27 20:16:06.697
BG,Bunge Limited Bunge Limited,$92.41,-0.506%,2023-06-27 20:16:06.697
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,$10.78,0.372%,2023-06-27 20:16:06.697
BGCP,BGC Partners Inc Class A Common Stock,$4.27,0.708%,2023-06-27 20:16:06.697
BGFV,Big 5 Sporting Goods Corporation Common Stock,$8.80,1.734%,2023-06-27 20:16:06.697
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,$13.02,-0.383%,2023-06-27 20:16:06.697
BGI,Birks Group Inc. Common Stock,$5.26,-1.682%,2023-06-27 20:16:06.697
BGNE,BeiGene Ltd. American Depositary Shares,$180.29,0.111%,2023-06-27 20:16:06.697
BGR,BlackRock Energy and Resources Trust,$11.79,-0.59%,2023-06-27 20:16:06.697
BGRY,Berkshire Grey Inc. Class A Common Stock,$1.40,0.719%,2023-06-27 20:16:06.697
BGRYW,Berkshire Grey Inc. Warrant,$0.3276,0.00%,2023-06-27 20:16:06.697
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,$14.19,0.283%,2023-06-27 20:16:06.697
BGSF,BGSF Inc. Common Stock,$9.44,-1.358%,2023-06-27 20:16:06.697
BGT,BlackRock Floating Rate Income Trust,$11.41,0.176%,2023-06-27 20:16:06.697
BGX,Blackstone Long Short Credit Income Fund Common Shares,$11.15,0.723%,2023-06-27 20:16:06.697
BGXX,Bright Green Corporation Common Stock,$0.9899,2.178%,2023-06-27 20:16:06.697
BGY,Blackrock Enhanced International Dividend Trust,$5.43,0.742%,2023-06-27 20:16:06.697
BH,Biglari Holdings Inc. Class B Common Stock,$189.90,-0.644%,2023-06-27 20:16:06.697
BHAC,Crixus BH3 Acquisition Company Class A Common Stock,$10.36,0.00%,2023-06-27 20:16:06.697
BHACW,Crixus BH3 Acquisition Company Warrants,$0.0252,-0.787%,2023-06-27 20:16:06.697
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,$1.01,0.00%,2023-06-27 20:16:06.697
BHB,Bar Harbor Bankshares Inc. Common Stock,$24.76,0.691%,2023-06-27 20:16:06.697
BHC,Bausch Health Companies Inc. Common Stock,$7.40,1.648%,2023-06-27 20:16:06.697
BHE,Benchmark Electronics Inc. Common Stock,$25.30,1.729%,2023-06-27 20:16:06.697
BHF,Brighthouse Financial Inc. Common Stock,$45.80,2.438%,2023-06-27 20:16:06.697
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,$22.85,-2.309%,2023-06-27 20:16:06.697
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,$14.45,-0.687%,2023-06-27 20:16:06.697
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,$16.61,-0.895%,2023-06-27 20:16:06.697
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,$23.42,-0.889%,2023-06-27 20:16:06.697
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,$21.59,-0.644%,2023-06-27 20:16:06.697
BHG,Bright Health Group Inc. Common Stock,$11.41,-8.574%,2023-06-27 20:16:06.697
BHIL,Benson Hill Inc. Common Stock,$1.07,-1.835%,2023-06-27 20:16:06.697
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,$10.71,-0.093%,2023-06-27 20:16:06.697
BHLB,Berkshire Hills Bancorp Inc. Common Stock,$20.91,0.384%,2023-06-27 20:16:06.697
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$16.25,2.848%,2023-06-27 20:16:06.697
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$60.45,1.511%,2023-06-27 20:16:06.697
BHR,Braemar Hotels & Resorts Inc. Common Stock,$3.99,1.786%,2023-06-27 20:16:06.697
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,$13.9001,-1.015%,2023-06-27 20:16:06.697
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,$23.8899,1.486%,2023-06-27 20:16:06.697
BHRB,Burke & Herbert Financial Services Corp. Common Stock,$64.70,-2.794%,2023-06-27 20:16:06.697
BHV,BlackRock Virginia Municipal Bond Trust,$10.61,0.378%,2023-06-27 20:16:06.697
BHVN,Biohaven Ltd. Common Shares ,$23.22,2.743%,2023-06-27 20:16:06.697
BIAF,bioAffinity Technologies Inc. Common Stock,$1.7691,-0.051%,2023-06-27 20:16:06.697
BIAFW,bioAffinity Technologies Inc. Warrant,$0.513,22.727%,2023-06-27 20:16:06.697
BIDU,Baidu Inc. ADS,$143.90,3.088%,2023-06-27 20:16:06.697
BIG,Big Lots Inc. Common Stock,$9.15,4.931%,2023-06-27 20:16:06.697
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,$9.40,3.183%,2023-06-27 20:16:06.697
BIGZ,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest,$7.72,0.915%,2023-06-27 20:16:06.697
BIIB,Biogen Inc. Common Stock,$282.95,0.487%,2023-06-27 20:16:06.697
BILI,Bilibili Inc. American Depositary Shares,$15.55,3.736%,2023-06-27 20:16:06.697
BILL,BILL Holdings Inc. Common Stock,$114.85,6.087%,2023-06-27 20:16:06.697
BIMI,BIMI International Medical Inc. Common Stock,$1.1896,-4.832%,2023-06-27 20:16:06.697
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,$365.75,0.057%,2023-06-27 20:16:06.697
BIO/B,Bio-Rad Laboratories Inc.,$371.10,0.00%,2023-06-27 20:16:06.697
BIOC,Biocept Inc. Common Stock,$1.29,0.781%,2023-06-27 20:16:06.697
BIOL,Biolase Inc. Common Stock,$0.0813,3.567%,2023-06-27 20:16:06.697
BIOR,Biora Therapeutics Inc. Common Stock,$3.55,-1.934%,2023-06-27 20:16:06.697
BIOS,BioPlus Acquisition Corp. Class A Ordinary Shares,$10.62,0.283%,2023-06-27 20:16:06.697
BIOSU,BioPlus Acquisition Corp. Unit,$10.06,-5.362%,2023-06-27 20:16:06.697
BIOSW,BioPlus Acquisition Corp. Warrants,$0.144,0.00%,2023-06-27 20:16:06.697
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$13.28,-1.337%,2023-06-27 20:16:06.697
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,$35.42,0.425%,2023-06-27 20:16:06.697
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13,$17.30,-0.803%,2023-06-27 20:16:06.697
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14,$17.03,0.209%,2023-06-27 20:16:06.697
BIPC,Brookfield Infrastructure Corporation ,$45.10,-0.77%,2023-06-27 20:16:06.697
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,$17.32,-0.058%,2023-06-27 20:16:06.697
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,$16.95,0.059%,2023-06-27 20:16:06.697
BIRD,Allbirds Inc. Class A Common Stock,$1.24,-2.362%,2023-06-27 20:16:06.697
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,$14.33,0.561%,2023-06-27 20:16:06.697
BITE,Bite Acquisition Corp. Common Stock,$10.36,0.485%,2023-06-27 20:16:06.697
BITF,Bitfarms Ltd. Common Stock,$1.48,7.246%,2023-06-27 20:16:06.697
BIVI,BioVie Inc. Class A Common Stock,$4.57,-4.593%,2023-06-27 20:16:06.697
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,$62.62,0.481%,2023-06-27 20:16:06.697
BJDX,Bluejay Diagnostics Inc. Common Stock,$0.2034,-4.102%,2023-06-27 20:16:06.697
BJRI,BJ's Restaurants Inc. Common Stock,$31.24,1.693%,2023-06-27 20:16:06.697
BK,The Bank of New York Mellon Corporation Common Stock,$43.84,1.882%,2023-06-27 20:16:06.697
BKCC,BlackRock Capital Investment Corporation Common Stock,$3.21,0.313%,2023-06-27 20:16:06.697
BKD,Brookdale Senior Living Inc. Common Stock,$4.12,2.743%,2023-06-27 20:16:06.697
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,$58.43,0.846%,2023-06-27 20:16:06.697
BKE,Buckle Inc. (The) Common Stock,$34.31,1.06%,2023-06-27 20:16:06.697
BKH,Black Hills Corporation Common Stock,$60.30,0.183%,2023-06-27 20:16:06.697
BKI,Black Knight Inc. Common Stock ,$57.95,1.134%,2023-06-27 20:16:06.697
BKKT,Bakkt Holdings Inc. Class A Common Stock,$1.25,14.679%,2023-06-27 20:16:06.697
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),$11.52,0.611%,2023-06-27 20:16:06.697
BKNG,Booking Holdings Inc. Common Stock,$2700.36,3.234%,2023-06-27 20:16:06.697
BKR,Baker Hughes Company Class A Common Stock,$30.97,1.441%,2023-06-27 20:16:06.697
BKSC,Bank of South Carolina Corp. Common Stock,$13.65,-1.657%,2023-06-27 20:16:06.697
BKSY,BlackSky Technology Inc. Class A Common Stock,$1.91,5.525%,2023-06-27 20:16:06.697
BKT,BlackRock Income Trust Inc. (The),$12.22,0.082%,2023-06-27 20:16:06.697
BKTI,BK Technologies Corporation Common Stock,$14.69,-5.712%,2023-06-27 20:16:06.697
BKU,BankUnited Inc. Common Stock,$21.64,2.172%,2023-06-27 20:16:06.697
BKYI,BIO-key International Inc. Common Stock,$0.745,3.472%,2023-06-27 20:16:06.697
BL,BlackLine Inc. Common Stock,$54.40,-0.202%,2023-06-27 20:16:06.697
BLAC,Bellevue Life Sciences Acquisition Corp. Common Stock,$10.25,-0.097%,2023-06-27 20:16:06.697
BLACR,Bellevue Life Sciences Acquisition Corp. Rights,$0.24,2.128%,2023-06-27 20:16:06.697
BLACU,Bellevue Life Sciences Acquisition Corp. Unit,$10.54,0.19%,2023-06-27 20:16:06.697
BLACW,Bellevue Life Sciences Acquisition Corp. Warrant,$0.08,0.00%,2023-06-27 20:16:06.697
BLBD,Blue Bird Corporation Common Stock,$20.93,1.307%,2023-06-27 20:16:06.697
BLBX,Blackboxstocks Inc. Common Stock,$3.10,2.99%,2023-06-27 20:16:06.697
BLCO,Bausch + Lomb Corporation Common Shares,$19.77,1.022%,2023-06-27 20:16:06.697
BLD,TopBuild Corp. Common Stock,$259.18,3.647%,2023-06-27 20:16:06.697
BLDE,Blade Air Mobility Inc. Class A Common Stock,$3.65,4.585%,2023-06-27 20:16:06.697
BLDEW,Blade Air Mobility Inc. Warrants,$0.52,-10.989%,2023-06-27 20:16:06.697
BLDP,Ballard Power Systems Inc. Common Shares,$4.23,-0.704%,2023-06-27 20:16:06.697
BLDR,Builders FirstSource Inc. Common Stock,$133.48,4.143%,2023-06-27 20:16:06.697
BLE,BlackRock Municipal Income Trust II,$10.35,0.291%,2023-06-27 20:16:06.697
BLEUW,bleuacacia ltd Warrants,$0.0376,-16.444%,2023-06-27 20:16:06.697
BLFS,BioLife Solutions Inc. Common Stock,$22.92,0.925%,2023-06-27 20:16:06.697
BLFY,Blue Foundry Bancorp Common Stock,$10.20,0.89%,2023-06-27 20:16:06.697
BLIN,Bridgeline Digital Inc. Common Stock,$1.1497,-0.026%,2023-06-27 20:16:06.697
BLK,BlackRock Inc. Common Stock,$684.64,0.657%,2023-06-27 20:16:06.697
BLKB,Blackbaud Inc. Common Stock,$68.56,0.044%,2023-06-27 20:16:06.697
BLMN,Bloomin' Brands Inc. Common Stock,$26.43,2.681%,2023-06-27 20:16:06.697
BLND,Blend Labs Inc. Class A Common Stock,$0.8709,-2.953%,2023-06-27 20:16:06.697
BLNG,Belong Acquisition Corp. Class A Common Stock,$10.22,0.00%,2023-06-27 20:16:06.697
BLNGU,Belong Acquisition Corp. Units,$10.23,0.098%,2023-06-27 20:16:06.697
BLNGW,Belong Acquisition Corp. Warrant,$0.0157,-28.636%,2023-06-27 20:16:06.697
BLNK,Blink Charging Co. Common Stock,$5.35,-1.473%,2023-06-27 20:16:06.697
BLPH,Bellerophon Therapeutics Inc. Common Stock,$0.74,4.905%,2023-06-27 20:16:06.697
BLRX,BioLineRx Ltd. American Depositary Shares,$1.58,0.637%,2023-06-27 20:16:06.697
BLTE,Belite Bio Inc American Depositary Shares,$15.24,13.987%,2023-06-27 20:16:06.697
BLU,BELLUS Health Inc. Common Shares,$14.74,-0.068%,2023-06-27 20:16:06.697
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.49,0.00%,2023-06-27 20:16:06.697
BLUE,bluebird bio Inc. Common Stock,$3.34,3.086%,2023-06-27 20:16:06.697
BLW,Blackrock Limited Duration Income Trust,$12.76,0.078%,2023-06-27 20:16:06.697
BLX,Banco Latinoamericano de Comercio Exterior S.A.,$20.85,0.144%,2023-06-27 20:16:06.697
BLZE,Backblaze Inc. Class A Common Stock,$3.79,-4.051%,2023-06-27 20:16:06.697
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),$26.45,-3.888%,2023-06-27 20:16:06.697
BMAC,Black Mountain Acquisition Corp. Class A Common Stock,$10.58,0.095%,2023-06-27 20:16:06.697
BMBL,Bumble Inc. Class A Common Stock,$16.81,0.779%,2023-06-27 20:16:06.697
BME,Blackrock Health Sciences Trust,$40.21,-0.495%,2023-06-27 20:16:06.697
BMEA,Biomea Fusion Inc. Common Stock,$21.85,-10.506%,2023-06-27 20:16:06.697
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,$16.14,-0.432%,2023-06-27 20:16:06.697
BMI,Badger Meter Inc. Common Stock,$144.71,0.361%,2023-06-27 20:16:06.697
BML^G,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1),$20.09,1.465%,2023-06-27 20:16:06.697
BML^H,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),$19.38,0.311%,2023-06-27 20:16:06.697
BML^J,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4),$20.62,-0.913%,2023-06-27 20:16:06.697
BML^L,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5),$19.97,-0.696%,2023-06-27 20:16:06.697
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,$24.90,0.161%,2023-06-27 20:16:06.697
BMO,Bank Of Montreal Common Stock,$90.15,1.031%,2023-06-27 20:16:06.697
BMR,Beamr Imaging Ltd. Ordinary Share,$2.89,-5.556%,2023-06-27 20:16:06.697
BMRA,Biomerica Inc. Common Stock,$1.42,4.412%,2023-06-27 20:16:06.697
BMRC,Bank of Marin Bancorp Common Stock,$18.56,0.108%,2023-06-27 20:16:06.697
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$91.73,-0.607%,2023-06-27 20:16:06.697
BMTX,BM Technologies Inc. Common Stock,$3.00,-0.498%,2023-06-27 20:16:06.697
BMY,Bristol-Myers Squibb Company Common Stock,$64.75,-0.062%,2023-06-27 20:16:06.697
BN,Brookfield Corporation Class A Limited Voting Shares,$32.24,2.414%,2023-06-27 20:16:06.697
BNED,Barnes & Noble Education Inc Common Stock,$1.18,1.724%,2023-06-27 20:16:06.697
BNGO,Bionano Genomics Inc. Common Stock,$0.5892,3.641%,2023-06-27 20:16:06.697
BNGOW,Bionano Genomics Inc. Warrant,$0.0313,-21.75%,2023-06-27 20:16:06.697
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,$15.90,-0.687%,2023-06-27 20:16:06.697
BNIX,Bannix Acquisition Corp. Common Stock,$10.45,-0.001%,2023-06-27 20:16:06.697
BNIXR,Bannix Acquisition Corp. Right,$0.1319,-5.786%,2023-06-27 20:16:06.697
BNIXW,Bannix Acquisition Corp. Warrant,$0.0311,-1.893%,2023-06-27 20:16:06.697
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,$15.12,-1.176%,2023-06-27 20:16:06.697
BNL,Broadstone Net Lease Inc. Common Stock,$15.83,1.932%,2023-06-27 20:16:06.697
BNMV,BitNile Metaverse Inc. Common Stock,$1.14,2.703%,2023-06-27 20:16:06.697
BNOX,Bionomics Limited American Depository Shares,$2.10,2.941%,2023-06-27 20:16:06.697
BNR,Burning Rock Biotech Limited American Depositary Shares,$2.23,3.963%,2023-06-27 20:16:06.697
BNRE,Brookfield Reinsurance Ltd. Class A Exchangeable Limited Voting Shares,$32.46,1.979%,2023-06-27 20:16:06.697
BNRG,Brenmiller Energy Ltd Ordinary Shares,$0.9669,0.00%,2023-06-27 20:16:06.697
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$49.04,0.76%,2023-06-27 20:16:06.697
BNSO,Bonso Electronics International Inc. Common Stock,$1.231,8.938%,2023-06-27 20:16:06.697
BNTC,Benitec Biopharma Inc. Common Stock,$0.2699,-25.028%,2023-06-27 20:16:06.697
BNTX,BioNTech SE American Depositary Share,$105.86,-1.001%,2023-06-27 20:16:06.697
BNY,BlackRock New York Municipal Income Trust,$10.26,0.195%,2023-06-27 20:16:06.697
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares,$9.98,0.00%,2023-06-27 20:16:06.697
BOC,Boston Omaha Corporation Class A Common Stock,$18.69,-0.16%,2023-06-27 20:16:06.697
BOCN,Blue Ocean Acquisition Corp Class A Ordinary Shares,$10.57,0.00%,2023-06-27 20:16:06.697
BOCNU,Blue Ocean Acquisition Corp Unit,$10.70,0.469%,2023-06-27 20:16:06.697
BOCNW,Blue Ocean Acquisition Corp Warrants,$0.04,0.00%,2023-06-27 20:16:06.697
BODY,The Beachbody Company Inc. Class A Common Stock,$0.418,-3.531%,2023-06-27 20:16:06.697
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,$9.94,1.429%,2023-06-27 20:16:06.697
BOF,BranchOut Food Inc. Common Stock,$3.23,-7.714%,2023-06-27 20:16:06.697
BOH,Bank of Hawaii Corporation Common Stock,$42.58,-0.023%,2023-06-27 20:16:06.697
BOH^A,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,$15.70,-2.605%,2023-06-27 20:16:06.697
BOKF,BOK Financial Corporation Common Stock,$82.25,0.661%,2023-06-27 20:16:06.697
BOLT,Bolt Biotherapeutics Inc. Common Stock,$1.32,2.326%,2023-06-27 20:16:06.697
BON,Bon Natural Life Limited Ordinary Shares,$0.59,2.52%,2023-06-27 20:16:06.697
BOOM,DMC Global Inc. Common Stock,$17.07,2.277%,2023-06-27 20:16:06.697
BOOT,Boot Barn Holdings Inc. Common Stock,$82.91,1.868%,2023-06-27 20:16:06.697
BORR,Borr Drilling Limited Common Shares,$6.80,-0.439%,2023-06-27 20:16:06.697
BOSC,B.O.S. Better Online Solutions Common Stock,$3.36,0.00%,2023-06-27 20:16:06.697
BOTJ,Bank of the James Financial Group Inc. Common Stock,$9.12,-0.654%,2023-06-27 20:16:06.697
BOWL,Bowlero Corp. Class A Common Stock,$11.46,-1.799%,2023-06-27 20:16:06.697
BOX,Box Inc. Class A Common Stock,$29.12,1.393%,2023-06-27 20:16:06.697
BOXL,Boxlight Corporation Class A Common Stock,$2.20,8.911%,2023-06-27 20:16:06.697
BP,BP p.l.c. Common Stock,$34.85,-1.107%,2023-06-27 20:16:06.697
BPMC,Blueprint Medicines Corporation Common Stock,$62.99,0.43%,2023-06-27 20:16:06.697
BPOP,Popular Inc. Common Stock,$60.58,1.27%,2023-06-27 20:16:06.697
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,$24.83,0.121%,2023-06-27 20:16:06.697
BPRN,Princeton Bancorp Inc. Common Stock (PA),$27.25,-1.766%,2023-06-27 20:16:06.697
BPT,BP Prudhoe Bay Royalty Trust Common Stock,$5.12,-1.916%,2023-06-27 20:16:06.697
BPTH,Bio-Path Holdings Inc. Common Stock,$1.76,2.326%,2023-06-27 20:16:06.697
BPTS,Biophytis SA American Depositary Share (0.01 Euro),$2.40,1.695%,2023-06-27 20:16:06.697
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,$15.35,2.069%,2023-06-27 20:16:06.697
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,$12.92,0.623%,2023-06-27 20:16:06.697
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,$13.4337,-0.047%,2023-06-27 20:16:06.697
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,$14.7179,-0.15%,2023-06-27 20:16:06.697
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$1.79,-5.166%,2023-06-27 20:16:06.697
BR,Broadridge Financial Solutions Inc. Common Stock,$161.51,1.001%,2023-06-27 20:16:06.697
BRAC,Broad Capital Acquisition Corp Common Stock,$10.72,0.187%,2023-06-27 20:16:06.697
BRACR,Broad Capital Acquisition Corp Rights,$0.1105,0.455%,2023-06-27 20:16:06.697
BRAG,Bragg Gaming Group Inc. Common Shares,$3.10,0.00%,2023-06-27 20:16:06.697
BRBR,BellRing Brands Inc. Common Stock ,$36.09,0.222%,2023-06-27 20:16:06.697
BRBS,Blue Ridge Bankshares Inc. Common Stock,$8.86,-0.113%,2023-06-27 20:16:06.697
BRC,Brady Corporation Common Stock,$47.32,0.021%,2023-06-27 20:16:06.697
BRCC,BRC Inc. Class A Common Stock,$5.27,0.381%,2023-06-27 20:16:06.697
BRD,Beard Energy Transition Acquisition Corp. Class A Common Stock,$10.485,0.143%,2023-06-27 20:16:06.697
BRDG,Bridge Investment Group Holdings Inc. Class A Common Stock,$11.31,1.072%,2023-06-27 20:16:06.697
BRDS,Bird Global Inc. Class A Common Stock,$2.15,7.50%,2023-06-27 20:16:06.697
BREA,Brera Holdings PLC Class B Ordinary Shares,$2.2501,5.283%,2023-06-27 20:16:06.697
BREZ,Breeze Holdings Acquisition Corp. Common Stock,$10.75,0.00%,2023-06-27 20:16:06.697
BREZR,Breeze Holdings Acquisition Corp. Right,$0.1249,0.00%,2023-06-27 20:16:06.697
BREZW,Breeze Holdings Acquisition Corp. Warrant,$0.159,0.00%,2023-06-27 20:16:06.697
BRFH,Barfresh Food Group Inc. Common Stock,$1.21,-6.923%,2023-06-27 20:16:06.697
BRFS,BRF S.A.,$1.83,-3.684%,2023-06-27 20:16:06.697
BRID,Bridgford Foods Corporation Common Stock,$11.35,-0.63%,2023-06-27 20:16:06.697
BRK/A,Berkshire Hathaway Inc.,$510580.00,0.706%,2023-06-27 20:16:06.697
BRK/B,Berkshire Hathaway Inc.,$335.34,0.365%,2023-06-27 20:16:06.697
BRKH,BurTech Acquisition Corp. Class A Common Stock,$10.44,0.192%,2023-06-27 20:16:06.697
BRKL,Brookline Bancorp Inc. Common Stock,$8.76,-0.341%,2023-06-27 20:16:06.697
BRKR,Bruker Corporation Common Stock,$73.14,-0.205%,2023-06-27 20:16:06.697
BRLI,Brilliant Acquisition Corporation Ordinary Shares,$11.30,-0.441%,2023-06-27 20:16:06.697
BRLIR,Brilliant Acquisition Corporation Rights,$0.1707,-10.158%,2023-06-27 20:16:06.697
BRLT,Brilliant Earth Group Inc. Class A Common Stock,$3.99,-0.25%,2023-06-27 20:16:06.697
BRN,Barnwell Industries Inc. Common Stock,$2.51,-1.953%,2023-06-27 20:16:06.697
BRO,Brown & Brown Inc. Common Stock,$66.82,0.617%,2023-06-27 20:16:06.697
BROG,Brooge Energy Limited Ordinary Shares,$4.81,-4.941%,2023-06-27 20:16:06.697
