especie,nombre,ultimo,var,hora
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$11.19,-0.178%,2023-06-27 20:16:06.697
ACBAU,Ace Global Business Acquisition Limited Unit,$10.90,-0.183%,2023-06-27 20:16:06.697
ACBAW,Ace Global Business Acquisition Limited Warrant,$0.0502,-5.816%,2023-06-27 20:16:06.697
ACCD,Accolade Inc. Common Stock,$12.13,-0.818%,2023-06-27 20:16:06.697
ACCO,Acco Brands Corporation Common Stock,$5.18,1.768%,2023-06-27 20:16:06.697
ACDC,ProFrac Holding Corp. Class A Common Stock,$11.66,-0.257%,2023-06-27 20:16:06.697
ACDCW,ProFrac Holding Corp. Warrant,$0.0106,-29.333%,2023-06-27 20:16:06.697
ACEL,Accel Entertainment Inc. ,$10.19,0.00%,2023-06-27 20:16:06.697
ACER,Acer Therapeutics Inc. Common Stock (DE),$0.8394,-3.528%,2023-06-27 20:16:06.697
ACET,Adicet Bio Inc. Common Stock ,$2.13,-54.292%,2023-06-27 20:16:06.697
ACGL,Arch Capital Group Ltd. Common Stock,$71.14,-0.112%,2023-06-27 20:16:06.697
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$19.16,-1.542%,2023-06-27 20:16:06.697
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$22.85,-1.039%,2023-06-27 20:16:06.697
ACGN,Aceragen Inc. Common Stock,$1.56,0.00%,2023-06-27 20:16:06.697
ACHC,Acadia Healthcare Company Inc. Common Stock,$79.04,3.293%,2023-06-27 20:16:06.697
ACHL,Achilles Therapeutics plc American Depositary Shares,$0.9812,1.155%,2023-06-27 20:16:06.697
ACHR,Archer Aviation Inc. Class A Common Stock,$3.39,1.802%,2023-06-27 20:16:06.697
ACHV,Achieve Life Sciences Inc. Common Shares,$5.59,0.54%,2023-06-27 20:16:06.697
ACI,Albertsons Companies Inc. Class A Common Stock,$21.69,0.092%,2023-06-27 20:16:06.697
ACIU,AC Immune SA Common Stock,$3.40,71.717%,2023-06-27 20:16:06.697
ACIW,ACI Worldwide Inc. Common Stock,$21.96,1.855%,2023-06-27 20:16:06.697
ACLS,Axcelis Technologies Inc. Common Stock,$174.17,3.525%,2023-06-27 20:16:06.697
ACLX,Arcellx Inc. Common Stock,$32.00,-0.218%,2023-06-27 20:16:06.697
ACM,AECOM Common Stock,$85.71,0.74%,2023-06-27 20:16:06.697
ACMR,ACM Research Inc. Class A Common Stock,$12.77,7.041%,2023-06-27 20:16:06.697
ACN,Accenture plc Class A Ordinary Shares (Ireland),$300.81,1.143%,2023-06-27 20:16:06.697
ACNB,ACNB Corporation Common Stock,$33.13,-2.271%,2023-06-27 20:16:06.697
ACNT,Ascent Industries Co. Common Stock,$9.15,1.105%,2023-06-27 20:16:06.697
ACON,Aclarion Inc. Common Stock,$0.78,-10.345%,2023-06-27 20:16:06.697
ACONW,Aclarion Inc. Warrant,$0.10,0.00%,2023-06-27 20:16:06.697
ACOR,Acorda Therapeutics Inc. Common Stock,$11.91,-5.251%,2023-06-27 20:16:06.697
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.78,0.00%,2023-06-27 20:16:06.697
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$22.665,0.465%,2023-06-27 20:16:06.697
ACR,ACRES Commercial Realty Corp. Common Stock,$8.3757,0.549%,2023-06-27 20:16:06.697
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$21.39,0.896%,2023-06-27 20:16:06.697
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$19.67,0.102%,2023-06-27 20:16:06.697
ACRE,Ares Commercial Real Estate Corporation Common Stock,$10.38,1.367%,2023-06-27 20:16:06.697
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,$10.15,-1.168%,2023-06-27 20:16:06.697
ACRS,Aclaris Therapeutics Inc. Common Stock,$9.74,-0.511%,2023-06-27 20:16:06.697
ACRV,Acrivon Therapeutics Inc. Common Stock,$13.08,0.077%,2023-06-27 20:16:06.697
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$1.08,-1.818%,2023-06-27 20:16:06.697
ACST,Acasti Pharma Inc. Class A Common Stock,$0.5299,-2.395%,2023-06-27 20:16:06.697
ACT,Enact Holdings Inc. Common Stock,$24.62,0.654%,2023-06-27 20:16:06.697
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.93,-3.912%,2023-06-27 20:16:06.697
ACU,Acme United Corporation. Common Stock,$25.30,0.079%,2023-06-27 20:16:06.697
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$19.41,1.146%,2023-06-27 20:16:06.697
ACVA,ACV Auctions Inc. Class A Common Stock,$16.80,0.659%,2023-06-27 20:16:06.697
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$2.55,3.239%,2023-06-27 20:16:06.697
ADAG,Adagene Inc. American Depositary Shares,$1.46,-17.045%,2023-06-27 20:16:06.697
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$0.9028,-1.709%,2023-06-27 20:16:06.697
ADBE,Adobe Inc. Common Stock,$489.27,2.035%,2023-06-27 20:16:06.697
ADC,Agree Realty Corporation Common Stock,$65.56,0.015%,2023-06-27 20:16:06.697
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,$17.68,-0.169%,2023-06-27 20:16:06.697
ADCT,ADC Therapeutics SA Common Shares,$2.01,0.50%,2023-06-27 20:16:06.697
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,$1.13,-2.586%,2023-06-27 20:16:06.697
ADEA,Adeia Inc. Common Stock,$10.46,1.258%,2023-06-27 20:16:06.697
ADER,26 Capital Acquisition Corp. Class A Common Stock,$10.76,0.00%,2023-06-27 20:16:06.697
ADERU,26 Capital Acquisition Corp. Unit,$10.90,0.00%,2023-06-27 20:16:06.697
ADERW,26 Capital Acquisition Corp. Warrant,$0.0567,11.176%,2023-06-27 20:16:06.697
ADES,Advanced Emissions Solutions Inc. Common Stock,$1.74,0.578%,2023-06-27 20:16:06.697
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.48,-0.475%,2023-06-27 20:16:06.697
ADI,Analog Devices Inc. Common Stock,$192.38,3.241%,2023-06-27 20:16:06.697
ADIL,Adial Pharmaceuticals Inc Common Stock,$0.23,0.131%,2023-06-27 20:16:06.697
ADILW,Adial Pharmaceuticals Inc Warrant,$0.0058,-3.333%,2023-06-27 20:16:06.697
ADM,Archer-Daniels-Midland Company Common Stock,$73.89,0.339%,2023-06-27 20:16:06.697
ADMA,ADMA Biologics Inc Common Stock,$3.87,2.111%,2023-06-27 20:16:06.697
ADMP,Adamis Pharmaceuticals Corporation Common Stock,$2.19,-3.524%,2023-06-27 20:16:06.697
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$0.59,0.391%,2023-06-27 20:16:06.697
ADNT,Adient plc Ordinary Shares ,$37.38,2.58%,2023-06-27 20:16:06.697
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.0844,0.00%,2023-06-27 20:16:06.697
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$11.01,0.182%,2023-06-27 20:16:06.697
ADOCW,Edoc Acquisition Corp. Warrant,$0.01,-16.667%,2023-06-27 20:16:06.697
ADP,Automatic Data Processing Inc. Common Stock,$215.61,0.032%,2023-06-27 20:16:06.697
ADPT,Adaptive Biotechnologies Corporation Common Stock,$6.80,1.04%,2023-06-27 20:16:06.697
ADRT,Ault Disruptive Technologies Corporation Common Stock,$11.25,-0.354%,2023-06-27 20:16:06.697
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$6.08,14.717%,2023-06-27 20:16:06.697
ADSEW,ADS-TEC ENERGY PLC Warrant,$0.5676,-12.677%,2023-06-27 20:16:06.697
ADSK,Autodesk Inc. Common Stock,$206.85,3.023%,2023-06-27 20:16:06.697
ADT,ADT Inc. Common Stock,$5.89,-1.008%,2023-06-27 20:16:06.697
ADTH,AdTheorent Holding Company Inc. Common Stock,$1.47,-3.922%,2023-06-27 20:16:06.697
ADTHW,AdTheorent Holding Company Inc. Warrants,$0.10,-9.091%,2023-06-27 20:16:06.697
ADTN,ADTRAN Holdings Inc. Common Stock,$10.30,2.692%,2023-06-27 20:16:06.697
ADTX,Aditxt Inc. Common Stock,$0.422,-8.301%,2023-06-27 20:16:06.697
ADUS,Addus HomeCare Corporation Common Stock,$92.12,1.982%,2023-06-27 20:16:06.697
ADV,Advantage Solutions Inc. Class A Common Stock,$2.35,3.07%,2023-06-27 20:16:06.697
ADVM,Adverum Biotechnologies Inc. Common Stock,$1.46,3.546%,2023-06-27 20:16:06.697
ADVWW,Advantage Solutions Inc. Warrant,$0.135,8.00%,2023-06-27 20:16:06.697
ADX,Adams Diversified Equity Fund Inc.,$16.55,1.285%,2023-06-27 20:16:06.697
ADXN,Addex Therapeutics Ltd American Depositary Shares,$0.648,3.514%,2023-06-27 20:16:06.697
AE,Adams Resources & Energy Inc. Common Stock,$34.70,-0.144%,2023-06-27 20:16:06.697
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,$10.34,0.00%,2023-06-27 20:16:06.697
AEAEU,AltEnergy Acquisition Corp. Unit,$10.37,0.096%,2023-06-27 20:16:06.697
AEAEW,AltEnergy Acquisition Corp. Warrant,$0.059,1.724%,2023-06-27 20:16:06.697
AEE,Ameren Corporation Common Stock,$82.59,0.744%,2023-06-27 20:16:06.697
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.185,1.072%,2023-06-27 20:16:06.697
