tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
ONS;PNMCO;PNMCD;;;PAN AMERICAN REGS 7.25% V.21/07/2025;BCBA;1;True
ONS;PNQCO;PNQCD;;;PAN AMERICAN REGS 2.74% V.14/03/2025;BCBA;1;True
ONS;RA31O;RA31D;;;Raghsa SA C3 SI 7.25% USD V21-03-24;BCBA;1;True
ONS;RAC4O;RAC4D;;;RAGHSA VTO. 04/05/2027 8.5%;BCBA;1;True
ONS;RAC5O;RAC5D;;;RAGHSA VTO. 24/04/2030;BCBA;1;True
ONS;RCCJO;RCCJD;;;ARCOR REGS 8.25% V.09/10/2027;BCBA;1;True
ONS;RCCMO;RCCMD;;;ARCOR CL 21 V22/11/25;BCBA;1;True
ONS;RFCAO;RFCAD;;;AGROFINA CL.10 V.05/07/23;BCBA;1;False
ONS;RUC3O;RUC3D;;;MSU Energy Clase 3 21/12/23;BCBA;1;True
ONS;RUC4O;RUC4D;;;MSU ENERGY CL. 4 U$S VTO.20/05/24;BCBA;1;True
ONS;RUC5O;RUC5D;;;MSU ENERGY CLASE 5 22/07/2024;BCBA;1;True
ONS;RUC6O;RUC6D;;;MSU CL. 6 U$S VTO.02/11/24;BCBA;1;True
ONS;RUC7O;RUC7D;;;MSU CL. 7 U$S VTO.12/01/26;BCBA;1;True
ONS;SNS7O;SNS7D;;;SAN MIGUEL S.7 VT.18/01/24;BCBA;1;True
ONS;SNS8O;SNS8D;;;SAN MIGUEL S.8 U$S VTO.28/11/24;BCBA;1;True
ONS;SNS9O;SNS9D;;;SAN MIGUEL S. 9 V26/06/25;BCBA;1;True
ONS;TLC1O;TLC1D;;;Telecom Clase 1 USD 8% V 18-07-2026;BCBA;1;True
ONS;TLC5O;TLC5D;;;Telecom Clase 5 USD V 06-08-2025;BCBA;1;True
ONS;TLCGO;TLCGD;;;Telecom Clase 15 USD V 02-06-2026;BCBA;1;True
ONS;TN52O;TN52D;;;TARJETA NARANJA CLASE 52 30/04/2024;BCBA;1;True
ONS;TSC2O;TSC2D;;;TGS S.A. 2 REGS U$S 6.75% 02/05/25;BCBA;1;True
ONS;VSC3O;VSC3D;;;VISTA OIL&GAS C.3 U$S CG V.21/02/2024;BCBA;1;True
ONS;VSCEO;VSCED;;;VISTA ENERGY CL.13 08/08/2024;BCBA;1;True
ONS;VSCFO;VSCFD;;;VISTA ENERGY CL.14 11/11/2025;BCBA;1;True
ONS;VSCHO;VSCHD;;;VISTA ENERGY CL.16 06/06/26;BCBA;1;True
ONS;VSCKO;VSCKD;;;VISTA ENERGY CL.19 03/03/28;BCBA;1;True
ONS;VSCLO;VSCLD;;;VISTA ENERGY CL.20 20/07/25;BCBA;1;True
ONS;YCA6O;YCA6P;;;YPF CLASE 39 8.50% U$S VTO.28/07/2025;BCBA;1;True
ONS;YMCHO;YMCHD;;;YPF SA REGS 4% V12/02/26 Cl. XVI;BCBA;1;True
ONS;YMCIO;YMCID;;;YPF SA REGS 2.5% V30/06/2029 C.XVII;BCBA;1;True
ONS;YMCJO;YMCJD;;;YPF S.A. REGS 1.5% V30/09/2033 C. XVIII;BCBA;1;True
ONS;YMCNO;YMCND;;;YPF S.A. 22 VTO.10/07/24;BCBA;1;True
ONS;YMCOO;YMCOD;;;YPF S.A. 23 VTO.25/04/25;BCBA;1;True
ONS;YMCQO;YMCQD;;;YPF S.A. 25 VTO.13/02/26;BCBA;1;True
ONS;YPCUO;YPCUD;;;YPF S.A. 28 VTO.04/04/24;BCBA;1;True
