especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
TGNO4,ARS,24hs,636.0,675.0,671.5,-0.44,671.5,674.0,666.0,1384,929201.0,674.5,17:00:00,MERVAL
TGNO4,ARS,48hs,655.0,688.0,676.0,2.58,660.0,681.0,651.5,137569,91506742.0,659.0,17:00:01,MERVAL
TGSU2,ARS,CI,1417.7,1499.0,1412.0,-3.34,1450.0,1470.0,1401.0,5059,7177443.0,1460.8,16:30:00,MERVAL
TGSU2,ARS,24hs,1404.2,1555.0,1405.55,-3.29,1405.55,1405.55,1405.55,3,4216.0,1453.35,17:00:00,MERVAL
TGSU2,ARS,48hs,1400.0,1436.0,1413.15,-2.65,1463.0,1463.0,1400.0,118739,167808329.0,1451.6,17:00:01,MERVAL
TRAN,ARS,CI,369.0,395.0,375.0,0.81,369.5,383.5,369.0,11536,4271711.0,372.0,16:30:00,MERVAL
TRAN,ARS,24hs,330.0,384.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
TRAN,ARS,48hs,334.0,387.0,377.5,0.8,383.0,383.0,367.0,131241,48938366.0,374.5,17:00:01,MERVAL
TXAR,ARS,CI,413.0,443.0,441.0,0.46,437.0,445.0,430.0,19558,8553126.0,439.0,16:30:00,MERVAL
TXAR,ARS,48hs,400.0,446.5,444.0,1.72,437.0,445.0,434.0,946951,417248856.0,436.5,17:00:01,MERVAL
VALO,ARS,CI,105.5,112.0,107.25,0.0,108.75,109.0,105.0,9614,1015979.0,107.25,16:30:00,MERVAL
VALO,ARS,24hs,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
VALO,ARS,48hs,104.0,107.75,106.75,-1.84,109.0,109.75,105.0,360026,38240329.0,108.75,17:00:02,MERVAL
YPFD,ARS,CI,7551.0,8600.0,8108.5,-0.62,8212.0,8282.3,7947.35,11432,92182246.0,8158.9,16:30:00,MERVAL
YPFD,ARS,24hs,8015.0,8199.95,8100.0,-1.22,8268.0,8268.0,8000.6,875,7079372.0,8200.1,17:00:00,MERVAL
YPFD,ARS,48hs,8100.0,8200.0,8144.2,-0.81,8150.0,8245.0,8000.0,110116,892328646.0,8210.85,17:00:01,MERVAL
AGRO,ARS,CI,148.5,150.5,147.5,4.06,145.0,150.75,143.25,9827,1455353.0,141.75,16:30:00,MERVAL
AGRO,ARS,24hs,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
AGRO,ARS,48hs,140.0,151.0,147.5,0.51,148.0,152.0,143.0,145978,21648716.0,146.75,17:08:32,MERVAL
AUSO,ARS,CI,618.0,659.0,618.0,0.57,618.0,618.0,618.0,192,118656.0,614.5,16:30:00,MERVAL
AUSO,ARS,48hs,555.0,669.0,641.5,1.74,630.5,653.5,617.5,5612,3569304.0,630.5,17:00:01,MERVAL
BHIP,ARS,CI,22.0,33.95,32.5,-3.85,34.25,34.25,32.15,20322,666260.0,33.8,16:30:00,MERVAL
BHIP,ARS,24hs,33.55,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
BHIP,ARS,48hs,31.0,37.0,34.05,-0.44,34.7,35.1,33.45,457640,15539015.0,34.2,17:00:01,MERVAL
BOLT,ARS,CI,8.91,9.49,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
BOLT,ARS,24hs,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
BOLT,ARS,48hs,8.7,9.4,9.0,-1.1,9.1,9.28,9.0,216420,1963070.0,9.1,17:00:01,MERVAL
BPAT,ARS,CI,270.0,305.0,297.0,3.66,292.5,297.0,292.5,929,275343.0,286.5,16:30:00,MERVAL
BPAT,ARS,48hs,215.0,310.0,299.5,2.39,295.0,302.0,293.0,8588,2559047.0,292.5,17:00:01,MERVAL
CADO,ARS,CI,156.5,175.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
CADO,ARS,48hs,176.0,178.0,175.5,0.57,176.5,176.5,171.0,16024,2804030.0,174.5,17:00:01,MERVAL
CAPX,ARS,CI,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
CAPX,ARS,48hs,1872.0,2100.0,1946.0,0.31,1941.0,1980.0,1865.0,1253,2403078.0,1940.0,17:00:01,MERVAL
CARC,ARS,CI,6.89,7.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
CARC,ARS,48hs,4.0,7.65,7.07,0.43,7.19,7.2,6.91,366879,2575280.0,7.04,17:00:01,MERVAL
CECO2,ARS,CI,179.0,200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
CECO2,ARS,48hs,1.0,199.0,200.0,2.3,198.0,200.0,195.0,25008,4980285.0,195.5,17:00:01,MERVAL
CELU,ARS,CI,300.0,314.0,303.0,2.71,300.5,303.0,300.5,2641,797483.0,295.0,16:30:00,MERVAL
CELU,ARS,48hs,244.0,333.0,306.5,-0.97,315.0,315.0,301.5,6479,1996770.0,309.5,17:00:01,MERVAL
CGPA2,ARS,CI,395.5,406.0,396.0,-5.71,400.0,406.0,395.5,1145,458259.0,420.0,16:30:00,MERVAL
CGPA2,ARS,48hs,399.0,420.0,406.0,2.27,398.0,411.5,398.0,50398,20436275.0,397.0,17:00:01,MERVAL
CTIO,ARS,CI,550.0,560.0,550.5,0.18,558.0,558.0,550.0,715,397324.0,549.5,16:30:00,MERVAL
CTIO,ARS,24hs,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
CTIO,ARS,48hs,530.0,600.0,555.5,1.18,558.0,563.0,553.0,15561,8663882.0,549.0,17:00:01,MERVAL
CVH,ARS,CI,985.0,1689.5,1608.0,-3.04,1717.5,1717.5,1580.0,768,1260586.0,1658.5,16:30:00,MERVAL
CVH,ARS,48hs,1180.0,1700.0,1630.0,-1.98,1663.0,1663.0,1611.0,6888,11202579.0,1663.0,17:00:01,MERVAL
DGCU2,ARS,CI,323.0,334.5,334.5,2.76,322.0,334.5,322.0,421,139662.0,325.5,16:30:00,MERVAL
DGCU2,ARS,24hs,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
DGCU2,ARS,48hs,321.5,334.0,331.5,-1.19,331.0,335.5,325.0,56916,18759710.0,335.5,17:00:01,MERVAL
DOME,ARS,48hs,19.45,23.0,19.45,-10.98,21.0,21.0,18.0,6104,118722.0,21.85,15:24:37,MERVAL
DYCA,ARS,48hs,230.0,330.0,259.0,-4.07,270.0,270.0,238.0,2690,691628.0,270.0,16:56:44,MERVAL
FERR,ARS,CI,0.0,42.45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
FERR,ARS,48hs,41.9,43.4,42.0,3.83,41.5,42.5,40.9,158069,6620119.0,40.45,17:00:01,MERVAL
FIPL,ARS,CI,0.0,86.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
FIPL,ARS,48hs,75.0,92.4,78.5,-4.85,82.5,83.0,78.0,68636,5504546.0,82.5,17:00:01,MERVAL
GAMI,ARS,CI,86.0,90.5,88.0,3.17,88.0,88.0,88.0,986,86768.0,85.3,16:30:00,MERVAL
GAMI,ARS,48hs,84.8,91.7,90.4,3.43,87.9,90.9,86.0,49985,4452012.0,87.4,17:00:01,MERVAL
GARO,ARS,48hs,58.5,60.0,58.9,0.68,58.5,64.0,58.5,6567,387384.0,58.5,15:54:41,MERVAL
GBAN,ARS,CI,300.0,360.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
GBAN,ARS,48hs,288.0,349.0,325.0,-1.96,321.0,333.0,318.0,652,212100.0,331.5,17:00:01,MERVAL
GCDI,ARS,CI,8.78,9.05,9.05,1.69,9.05,9.05,8.67,11304,99310.0,8.9,16:30:00,MERVAL
GCDI,ARS,48hs,8.7,9.95,9.05,1.34,8.98,9.15,8.72,240308,2130796.0,8.93,17:00:02,MERVAL
GCLA,ARS,CI,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
GCLA,ARS,48hs,130.0,2499.0,452.6,-1.39,466.5,466.5,449.0,2242,1015182.0,459.0,17:00:01,MERVAL
GRIM,ARS,48hs,390.0,410.0,400.0,-2.2,400.0,400.0,400.0,411,164400.0,409.0,15:25:55,MERVAL
HARG,ARS,CI,492.0,520.0,503.5,0.7,508.0,508.0,496.0,2576,1291275.0,500.0,16:30:00,MERVAL
HARG,ARS,48hs,497.0,550.0,508.5,0.1,509.0,513.5,497.0,35931,18107039.0,508.0,17:00:01,MERVAL
HAVA,ARS,CI,1150.0,1300.0,1193.5,5.06,1190.0,1200.0,1190.0,123,146740.0,1136.0,16:30:25,MERVAL
HAVA,ARS,48hs,1129.0,1226.0,1189.5,-0.88,1200.0,1200.0,1176.0,4275,5116399.0,1200.0,17:00:01,MERVAL
INTR,ARS,48hs,79.5,80.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
INVJ,ARS,CI,104.0,114.0,104.25,3.22,106.0,106.0,104.25,620,65238.0,101.0,16:30:00,MERVAL
INVJ,ARS,48hs,104.0,110.0,105.5,2.93,102.5,107.5,102.5,43373,4577190.0,102.5,17:00:01,MERVAL
IRSA,ARS,CI,410.0,441.0,425.0,3.16,414.0,425.0,406.5,2522,1041017.0,412.0,16:30:00,MERVAL
IRSA,ARS,24hs,330.0,447.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
IRSA,ARS,48hs,402.0,435.0,411.2,-0.58,414.0,416.5,408.0,321649,132354936.0,413.6,17:00:01,MERVAL
LEDE,ARS,CI,328.0,345.0,348.5,4.65,344.5,348.5,344.5,2488,857990.0,333.0,16:30:00,MERVAL
LEDE,ARS,48hs,346.0,690.0,344.5,-2.27,345.0,352.0,340.0,23184,7993143.0,352.5,17:00:01,MERVAL
LONG,ARS,CI,18.8,22.5,21.35,1.18,21.8,21.8,21.35,8300,177385.0,21.1,16:30:00,MERVAL
LONG,ARS,48hs,18.7,22.75,22.65,7.6,21.5,22.9,21.25,865297,19167778.0,21.05,17:00:01,MERVAL
METR,ARS,CI,235.0,245.0,238.25,0.42,244.0,244.0,238.25,100,24112.0,237.25,16:30:00,MERVAL
METR,ARS,48hs,191.0,243.5,240.0,0.0,249.5,249.5,236.0,15346,3683945.0,240.0,17:00:01,MERVAL
MOLA,ARS,CI,6500.0,6999.5,6999.5,3.37,6976.0,6999.5,6976.0,14,97946.0,6771.14,16:30:00,MERVAL
MOLA,ARS,24hs,0.0,7189.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
MOLA,ARS,48hs,6900.0,7200.0,6979.0,1.5,6944.5,7035.0,6670.5,703,4844577.0,6876.0,17:00:01,MERVAL
MOLI,ARS,CI,636.0,667.0,642.5,1.1,665.0,667.0,642.0,345,224544.0,635.5,16:30:00,MERVAL
MOLI,ARS,48hs,635.0,650.0,638.5,-1.31,654.0,660.0,637.0,8520,5499180.0,647.0,17:00:01,MERVAL
MORI,ARS,CI,38.0,75.0,42.0,-2.21,44.9,45.0,41.0,68714,2925016.0,42.95,16:30:00,MERVAL
MORI,ARS,24hs,37.8,45.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
MORI,ARS,48hs,40.0,44.0,40.75,-4.68,43.0,43.85,39.6,1495870,62367430.0,42.75,17:00:01,MERVAL
MTR,ARS,CI,606.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
MTR,ARS,48hs,600.0,629.0,610.5,-0.73,630.0,630.0,610.0,3301,2032199.0,615.0,17:00:01,MERVAL
OEST,ARS,48hs,224.0,228.0,221.75,-0.56,220.0,224.75,220.0,1245,276116.0,223.0,17:00:01,MERVAL
PATA,ARS,CI,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
PATA,ARS,48hs,235.0,300.0,255.0,-0.78,252.0,259.0,250.0,3011,771999.0,257.0,17:00:01,MERVAL
POLL,ARS,48hs,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
RICH,ARS,CI,535.0,570.0,545.0,-1.89,570.0,570.0,535.0,126,70845.0,555.5,16:30:00,MERVAL
RICH,ARS,24hs,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
RICH,ARS,48hs,402.0,540.0,542.0,1.21,557.0,557.0,513.0,993,532682.0,535.5,17:00:01,MERVAL
RIGO,ARS,48hs,570.0,560.0,565.0,0.89,560.0,570.0,560.0,1000,565000.0,560.0,15:00:00,MERVAL
ROSE,ARS,48hs,21.0,22.2,22.2,3.74,22.6,22.6,22.2,14787,331871.0,21.4,16:09:23,MERVAL
SAMI,ARS,CI,320.0,339.0,325.0,-1.52,335.5,336.5,316.0,3897,1269454.0,330.0,16:30:00,MERVAL
SAMI,ARS,48hs,323.0,343.0,330.0,-1.49,335.0,341.0,323.0,52056,17376858.0,335.0,17:00:01,MERVAL
SEMI,ARS,CI,68.6,71.7,70.7,19.83,72.9,72.9,68.6,10146,722030.0,59.0,16:30:00,MERVAL
SEMI,ARS,24hs,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,MERVAL
SEMI,ARS,48hs,62.0,71.9,67.3,4.02,66.0,74.0,66.0,660330,46131681.0,64.7,17:00:01,MERVAL
