especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
GN35O,ARS,24hs,31950.0,0.0,31950.0,0.16,31950.0,31950.0,31950.0,1000000,319500000.0,31900.0,17:00:11,ONS
GNCXD,MEP,CI,95.0,99.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
GNCXD,MEP,48hs,95.0,120.0,96.2,-0.57,98.5,98.5,96.0,25061,24469.0,96.75,17:00:22,ONS
GNCXO,ARS,CI,45800.0,50400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
GNCXO,ARS,48hs,47901.0,49400.0,48999.0,2.94,47500.0,48999.0,47200.0,117948,56203389.0,47600.0,17:00:11,ONS
HJC6D,MEP,48hs,20.75,48.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
HJC6O,ARS,48hs,9525.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
HJC7D,MEP,48hs,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
HJC7O,ARS,48hs,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
HJC8D,MEP,48hs,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
HJC8O,ARS,48hs,48500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRC8D,MEP,CI,0.0,41.65,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRC8D,MEP,48hs,34.6,39.9,39.15,3.03,39.15,39.15,39.15,259,101.0,38.0,17:00:10,ONS
IRC8O,ARS,CI,18970.0,19869.0,19868.5,-0.16,19868.5,19868.5,19868.5,19,3775.0,19899.5,16:30:03,ONS
IRC8O,ARS,48hs,19252.0,19700.0,19251.0,1.32,19000.0,19698.0,19000.0,20880,4027708.0,19000.0,17:00:19,ONS
IRCED,MEP,48hs,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCEO,ARS,48hs,43750.0,0.0,43750.0,-0.11,43800.0,43800.0,43750.0,215,94167.0,43800.0,17:00:20,ONS
IRCFD,MEP,CI,104.1,115.0,106.9,-0.05,103.5,106.9,103.5,754,798.0,106.95,16:30:02,ONS
IRCFD,MEP,48hs,105.0,108.9,106.2,-0.09,106.75,106.75,105.0,72703,77062.0,106.3,17:00:16,ONS
IRCFO,ARS,CI,51210.0,52649.0,51500.0,0.98,53000.0,53000.0,50800.0,6905,3581246.0,51000.0,16:30:21,ONS
IRCFO,ARS,24hs,51766.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCFO,ARS,48hs,51150.0,53920.0,52700.0,-0.38,52899.0,53500.0,52001.0,101360,53320284.0,52899.0,17:00:22,ONS
IRCGD,MEP,CI,101.5,107.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCGD,MEP,48hs,99.7,107.3,102.5,-0.49,105.4,105.45,102.5,70527,72342.0,103.0,17:00:24,ONS
IRCGO,ARS,CI,50802.5,51500.0,50653.5,-2.57,50653.5,50653.5,50653.5,965,488806.0,51990.0,16:30:07,ONS
IRCGO,ARS,24hs,50968.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCGO,ARS,48hs,50000.0,53000.0,51800.0,0.58,52300.0,52300.0,50500.0,75194,38276185.0,51500.0,17:00:15,ONS
IRCHD,MEP,CI,102.5,111.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCHD,MEP,48hs,101.0,108.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCHO,ARS,CI,50157.0,51050.0,51050.0,-2.95,51050.0,51050.0,51050.0,6,3063.0,52600.0,16:30:15,ONS
IRCHO,ARS,48hs,51100.0,53199.0,51000.0,-3.95,53100.0,53200.0,50300.0,15179,7749029.0,53100.0,17:00:10,ONS
IRCID,MEP,CI,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCID,MEP,48hs,92.21,102.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
IRCIO,ARS,48hs,46230.0,50000.0,48400.0,-0.18,48485.0,48900.0,48400.0,10952,5309843.0,48485.0,17:00:10,ONS
LMS1D,MEP,48hs,26.0,26.5,26.25,-0.19,26.5,26.5,26.0,6582,1730.0,26.3,17:00:10,ONS
LMS1O,ARS,CI,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
LMS1O,ARS,48hs,13200.0,13500.0,13500.0,0.4,13450.0,13690.0,13450.0,5000,673950.0,13446.0,17:00:29,ONS
LOC2D,MEP,CI,80.0,105.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
LOC2D,MEP,48hs,95.0,99.0,98.5,-1.5,98.0,99.0,98.0,2002,1971.0,100.0,17:00:17,ONS
LOC2O,ARS,CI,48195.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
LOC2O,ARS,48hs,48000.0,48700.0,48500.0,-2.41,49500.0,49500.0,48500.0,89057,43656798.0,49700.0,17:00:10,ONS
MAC2O,ARS,24hs,32500.0,31529.0,31529.0,-0.1,32500.0,32500.0,31529.0,22000000,6946090000.0,31560.0,17:00:11,ONS
MGC9D,MEP,CI,110.0,112.0,112.0,1.82,112.05,112.05,110.5,39782,44572.0,110.0,16:30:21,ONS
MGC9D,MEP,48hs,101.0,112.5,110.1,-0.41,112.5,112.5,110.1,175637,194460.0,110.55,17:00:11,ONS
MGC9O,ARS,CI,51800.0,57500.0,54000.0,-1.82,54620.5,55500.0,53973.5,7483,4094123.0,55000.0,16:30:04,ONS
MGC9O,ARS,24hs,48400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGC9O,ARS,48hs,52650.0,54700.0,54600.0,-0.53,55399.5,55400.0,54350.0,123495,67479134.0,54890.0,17:00:21,ONS
MGCBO,ARS,48hs,85.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGCED,MEP,48hs,63.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGCEO,ARS,48hs,29700.0,95000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGCGD,MEP,CI,0.19,0.2,0.19,2.16,0.19,0.2,0.19,123305493,239781.0,0.19,16:30:02,ONS
MGCGD,MEP,24hs,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGCGD,MEP,48hs,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGCGO,ARS,CI,70.0,109.0,99.0,-6.6,103.0,105.0,99.0,163803989,162450647.0,106.0,16:30:23,ONS
MGCGO,ARS,48hs,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGCHD,MEP,CI,100.0,105.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MGCHD,MEP,48hs,100.0,103.5,103.0,0.49,103.0,103.0,101.9,37433,38345.0,102.5,17:00:15,ONS
MGCHO,ARS,CI,50753.0,52100.0,52100.0,0.0,52100.0,52100.0,52100.0,2,1042.0,52099.5,16:30:02,ONS
MGCHO,ARS,48hs,51100.0,51600.0,51400.0,0.78,51100.0,51800.0,50000.0,50533,25977873.0,51000.0,17:00:10,ONS
MRCAD,MEP,CI,75.15,78.65,76.9,-0.13,78.65,78.65,76.4,13691,10506.0,77.0,16:30:03,ONS
MRCAD,MEP,48hs,76.25,80.0,76.9,0.79,77.7,77.9,76.3,293088,225018.0,76.3,17:00:13,ONS
MRCAO,ARS,CI,37852.0,38300.0,37852.0,-0.34,38799.0,38799.0,37700.0,45061,17099759.0,37980.0,16:30:21,ONS
MRCAO,ARS,24hs,36001.0,38000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRCAO,ARS,48hs,37600.0,39000.0,37990.0,-0.03,38845.0,38845.0,37800.0,416826,158387431.0,38000.0,17:00:11,ONS
MRCEO,ARS,CI,48600.0,50200.0,48566.5,-1.29,48571.0,48572.0,48566.5,450,218551.0,49200.0,16:30:21,ONS
MRCEO,ARS,48hs,46502.0,49190.0,49000.0,0.0,49000.0,49700.0,48901.0,41653,20424265.0,49000.0,17:00:29,ONS
MRCFO,ARS,CI,48667.0,51100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRCFO,ARS,48hs,48000.0,53500.0,49900.0,-2.73,51300.0,51300.0,49900.0,1829,913308.0,51300.0,17:00:10,ONS
MRCGO,ARS,48hs,25600.0,26000.0,26000.0,-10.03,28900.0,28900.0,26000.0,2496,679185.0,28900.0,17:00:19,ONS
MRCID,MEP,CI,94.95,101.95,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRCID,MEP,48hs,99.2,104.0,101.45,-0.44,101.9,101.9,100.5,5917,5987.0,101.9,17:00:18,ONS
MRCIO,ARS,CI,47102.0,51120.0,48975.0,4.47,48286.0,49399.0,48286.0,103,50458.0,46880.0,16:30:12,ONS
MRCIO,ARS,48hs,48400.0,52500.0,49400.0,-0.2,49700.0,49700.0,49310.0,39929,19753291.0,49500.0,17:00:21,ONS
MRCJO,ARS,48hs,21800.0,25000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRCLD,MEP,CI,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRCLD,MEP,48hs,100.0,104.9,102.0,-0.29,104.0,104.0,102.0,15026,15423.0,102.3,17:00:22,ONS
MRCLO,ARS,CI,50157.0,51100.0,50646.5,0.39,51900.0,51900.0,50646.5,620,316626.0,50449.5,16:30:14,ONS
MRCLO,ARS,48hs,50000.0,60000.0,51000.0,-0.2,51923.0,52122.0,50400.0,12817,6566340.0,51100.0,17:00:14,ONS
MRCMO,ARS,CI,27070.0,28140.0,27100.0,-2.17,27409.5,27409.5,27064.5,2882,783116.0,27700.0,16:30:04,ONS
MRCMO,ARS,24hs,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRCMO,ARS,48hs,27150.0,27280.0,27150.0,-1.9,28000.0,28000.0,27112.0,373276,101425300.0,27674.5,17:00:10,ONS
MRECD,MEP,CI,95.0,107.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRECD,MEP,48hs,98.5,100.0,99.2,-0.74,99.95,99.99,99.2,6603,6585.0,99.94,17:00:24,ONS
MRFCD,MEP,CI,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MRFCD,MEP,48hs,98.9,104.0,101.5,0.0,103.0,103.0,101.5,660,670.0,101.5,17:00:13,ONS
MSSAD,MEP,48hs,102.5,108.0,102.5,-3.3,104.5,105.0,102.5,5672,5825.0,106.0,17:00:12,ONS
MSSAO,ARS,CI,50057.5,0.0,48790.0,0.43,48790.0,48790.0,48790.0,100,48790.0,48580.0,16:30:18,ONS
MSSAO,ARS,48hs,48625.0,52000.0,52000.0,3.17,50602.0,52000.0,50250.0,28215,14238019.0,50400.0,17:00:27,ONS
MTCGD,MEP,CI,107.5,129.0,108.0,0.0,109.95,110.0,107.55,40106,43342.0,108.0,16:30:16,ONS
MTCGD,MEP,24hs,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
MTCGD,MEP,48hs,107.5,110.8,108.75,0.88,109.4,110.8,107.5,56407,61387.0,107.8,17:00:25,ONS
MTCGO,ARS,CI,50700.0,53829.0,51510.0,-2.81,53180.5,53900.0,51400.0,6271,3322682.0,53000.0,16:30:27,ONS
MTCGO,ARS,48hs,51000.0,53700.0,53700.0,0.75,54000.0,54499.0,53150.0,87212,46603932.0,53300.0,17:00:25,ONS
MTCIO,ARS,48hs,0.0,30130.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
OLC1O,ARS,24hs,33200.0,0.0,33200.0,0.0,33200.0,33200.0,33200.0,3044287,1010703284.0,33200.0,17:00:15,ONS
PNDCD,MEP,CI,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
PNDCD,MEP,48hs,108.0,116.4,116.4,-0.04,112.5,116.4,112.5,5000,5742.0,116.45,17:00:11,ONS
PNDCO,ARS,CI,55100.5,60000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
PNDCO,ARS,24hs,0.0,0.0,55000.0,-0.12,55000.0,55000.0,55000.0,1000,550000.0,55064.5,17:00:22,ONS
PNDCO,ARS,48hs,55700.0,58400.0,55700.0,1.27,55000.0,55700.0,55000.0,5000,2757000.0,55001.0,17:00:23,ONS
PNFCO,ARS,24hs,0.0,31479.0,31479.0,0.26,31479.0,31479.0,31479.0,2847373,896324546.0,31398.0,17:00:28,ONS
RA31O,ARS,CI,0.0,52670.0,52670.0,12.36,52670.0,52670.0,52670.0,1000,526700.0,46874.5,16:30:11,ONS
RAC4D,MEP,CI,105.0,0.0,105.0,0.48,105.0,105.0,105.0,3810,4000.0,104.5,16:30:15,ONS
RAC4D,MEP,48hs,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RAC4O,ARS,48hs,0.0,53000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RAC5D,MEP,48hs,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RCCJD,MEP,CI,107.0,115.0,110.0,-2.18,111.65,111.65,109.5,139012,152299.0,112.45,16:30:07,ONS
RCCJD,MEP,48hs,108.0,112.0,112.0,-1.32,108.0,114.0,108.0,75035,83660.0,113.5,17:00:10,ONS
RCCJO,ARS,CI,54651.0,56350.0,54626.5,-1.4,55500.0,55500.0,54619.0,2485,1359265.0,55400.0,16:30:01,ONS
RCCJO,ARS,24hs,55039.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RCCJO,ARS,48hs,53400.0,55700.0,55290.0,-0.74,55701.0,56000.0,54750.0,92922,51327586.0,55700.0,17:00:10,ONS
RCCMD,MEP,CI,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RCCMD,MEP,48hs,94.1,100.8,98.0,0.0,98.0,98.0,98.0,7387,7239.0,98.0,17:00:12,ONS
RCCMO,ARS,CI,48186.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RCCMO,ARS,48hs,48515.5,49400.0,49000.0,-0.61,49300.0,49500.0,48500.0,7649,3722445.0,49300.0,17:00:22,ONS
RFCAD,MEP,CI,103.65,0.0,103.65,-1.75,104.0,105.0,103.65,8985,9379.0,105.5,16:30:04,ONS
RFCAO,ARS,CI,52200.0,0.0,52200.0,-0.49,52286.0,52370.0,51861.5,74874,39124251.0,52455.5,16:30:14,ONS
RFCAO,ARS,48hs,51806.0,0.0,51806.0,1.15,52548.0,52548.0,51806.0,2388,1238900.0,51219.5,17:00:12,ONS
RUC3D,MEP,48hs,103.0,104.3,103.75,0.73,104.0,104.25,103.0,29997,31027.0,103.0,17:00:06,ONS
RUC3O,ARS,CI,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
