especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
AMD,ARS,48hs,5200.0,6320.0,6161.0,-1.05,6246.0,6309.0,6100.0,37353,228830276.0,6226.5,17:00:01,CEDEARS
AMDD,MEP,CI,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AMDD,MEP,48hs,11.9,12.9,12.6,0.0,12.7,12.7,12.2,568,7077.0,12.6,17:00:01,CEDEARS
AMGN,ARS,CI,11500.0,12366.5,12000.0,-3.31,12000.0,12000.0,12000.0,1,12000.0,12410.5,16:30:00,CEDEARS
AMGN,ARS,48hs,12000.0,12350.0,12268.5,0.0,12272.5,12397.5,12231.5,678,8350126.0,12269.0,17:00:01,CEDEARS
AMGND,MEP,48hs,21.3,29.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AMZN,ARS,CI,488.0,500.0,496.5,1.53,489.0,499.0,487.0,21638,10671617.0,489.0,16:30:00,CEDEARS
AMZN,ARS,24hs,485.0,598.0,499.5,0.3,499.5,500.0,485.0,377,188283.0,498.0,17:00:00,CEDEARS
AMZN,ARS,48hs,492.0,500.0,497.0,1.84,492.0,499.0,492.0,247812,122720220.0,488.0,17:09:18,CEDEARS
AMZND,MEP,CI,1.0,1.08,1.0,1.94,1.07,1.07,0.99,2629,2640.0,0.98,16:30:00,CEDEARS
AMZND,MEP,48hs,0.94,1.04,1.01,2.33,1.0,1.03,0.98,14355,14351.0,0.99,17:00:01,CEDEARS
ARCO,ARS,CI,11004.5,11005.0,11005.0,-1.12,10994.0,11005.0,10701.5,9,98100.0,11129.5,16:30:00,CEDEARS
ARCO,ARS,48hs,2700.0,12190.0,11105.0,-0.63,11279.5,11279.5,10972.5,209,2307084.0,11175.5,17:00:01,CEDEARS
ARCOD,MEP,48hs,22.4,0.0,22.4,25.14,22.4,22.4,22.4,10,224.0,17.9,17:00:01,CEDEARS
ARKK,ARS,CI,2600.0,2670.0,2660.0,0.42,2657.0,2691.0,2630.0,1331,3549130.0,2649.0,16:30:00,CEDEARS
ARKK,ARS,24hs,2692.0,2700.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
ARKK,ARS,48hs,2255.0,2800.0,2673.0,1.33,2666.5,2706.5,2638.0,28934,77343730.0,2638.0,17:00:02,CEDEARS
ARKKD,MEP,CI,4.2,6.3,5.1,-4.67,5.1,5.1,5.1,10,51.0,5.35,16:30:00,CEDEARS
ARKKD,MEP,48hs,5.2,5.78,5.4,-6.25,5.53,5.7,5.35,679,3707.0,5.76,17:00:02,CEDEARS
AVY,ARS,CI,0.0,5999.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AVY,ARS,48hs,100.0,5248.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AXP,ARS,CI,6150.0,6325.0,6310.5,0.34,6150.0,6310.5,6150.0,296,1822538.0,6289.0,16:30:00,CEDEARS
AXP,ARS,24hs,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AXP,ARS,48hs,5400.0,6265.0,6251.5,-0.32,6400.0,6400.0,6191.5,1263,7883391.0,6271.5,17:00:01,CEDEARS
AXPD,MEP,CI,11.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AXPD,MEP,48hs,11.7,13.3,12.5,-2.34,12.5,12.5,12.5,3,37.0,12.8,17:00:01,CEDEARS
AZN,ARS,CI,17838.0,18000.0,17840.0,4.86,17645.0,17840.0,17645.0,32,566650.0,17013.0,16:30:00,CEDEARS
AZN,ARS,48hs,17676.0,19100.0,17850.0,1.14,18053.0,18053.0,17815.0,131,2341053.0,17648.5,17:00:01,CEDEARS
AZND,MEP,CI,34.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
AZND,MEP,48hs,29.2,36.95,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BA,ARS,CI,17300.0,18800.0,17923.5,-5.17,18358.5,18358.5,17923.5,9,164791.0,18900.0,16:30:00,CEDEARS
BA,ARS,48hs,18260.0,18450.0,18378.5,-1.11,18426.5,18612.0,18298.0,330,6074516.0,18584.5,17:00:01,CEDEARS
BA.C,ARS,CI,8264.0,8350.0,8292.5,3.28,8090.0,8471.0,8090.0,469,3890741.0,8029.5,16:30:00,CEDEARS
BA.C,ARS,48hs,7820.0,8450.0,8330.5,2.95,8200.0,8371.5,8157.0,37849,314421202.0,8091.5,17:00:01,CEDEARS
BA.CD,MEP,CI,15.0,16.9,16.6,0.61,16.6,16.6,16.0,304,5033.0,16.5,16:30:00,CEDEARS
BA.CD,MEP,48hs,14.0,16.9,16.85,0.9,16.65,16.85,16.0,699,11642.0,16.7,17:00:01,CEDEARS
BABA,ARS,CI,5390.0,5425.0,5408.5,1.87,5639.5,5639.5,5383.5,1337,7258255.0,5309.0,16:30:00,CEDEARS
BABA,ARS,24hs,5302.0,5681.0,5681.0,-0.07,5680.0,5682.0,5680.0,78,443116.0,5685.0,17:00:00,CEDEARS
BABA,ARS,48hs,5360.0,5625.0,5412.0,1.25,5482.0,5520.0,5407.0,23372,127070482.0,5345.0,17:00:01,CEDEARS
BABAD,MEP,CI,8.8,11.45,11.5,5.99,11.3,11.5,10.85,174,1976.0,10.85,16:30:00,CEDEARS
BABAD,MEP,48hs,9.0,11.5,11.3,1.8,10.95,11.5,10.95,677,7585.0,11.1,17:00:01,CEDEARS
BAD,MEP,CI,34.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BAD,MEP,48hs,35.2,36.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BB,ARS,CI,828.0,869.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BB,ARS,48hs,843.5,900.0,858.5,-0.17,850.0,869.5,843.0,2176,1861301.0,860.0,17:00:01,CEDEARS
BBD,ARS,CI,1821.0,1855.0,1847.0,2.1,1817.0,1855.0,1795.0,412,748917.0,1809.0,16:30:00,CEDEARS
BBD,ARS,24hs,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BBD,ARS,48hs,1750.0,1900.0,1834.0,1.3,1812.0,1848.0,1805.0,17376,31604404.0,1810.5,17:00:01,CEDEARS
BBDD,MEP,CI,3.48,4.25,3.6,2.86,3.6,3.6,3.6,62,223.0,3.5,16:30:00,CEDEARS
BBDD,MEP,48hs,3.62,3.95,3.65,-5.19,3.91,3.91,3.62,82,310.0,3.85,17:00:01,CEDEARS
BBV,ARS,CI,4038.0,4300.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BBV,ARS,48hs,3379.0,4212.0,4212.0,-0.85,4185.0,4212.5,4169.0,53,222609.0,4248.0,17:00:01,CEDEARS
BBVD,MEP,48hs,8.37,8.44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BHP,ARS,CI,15286.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BHP,ARS,48hs,15918.0,16035.0,16035.0,-1.05,16038.5,16060.0,15905.5,46,734726.0,16205.0,17:00:01,CEDEARS
BIDU,ARS,CI,6892.0,7200.0,6890.0,-2.96,7334.0,7334.0,6890.0,69,489671.0,7100.0,16:30:00,CEDEARS
BIDU,ARS,48hs,6600.0,7485.0,6913.0,-0.24,7033.0,7052.5,6890.0,1385,9622086.0,6929.5,17:00:01,CEDEARS
BIDUD,MEP,CI,13.35,14.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BIDUD,MEP,48hs,13.5,17.9,13.45,-4.61,13.5,13.5,13.2,45,604.0,14.1,17:00:01,CEDEARS
BIIB,ARS,CI,10300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BIIB,ARS,48hs,11200.0,11310.0,11298.0,0.29,11173.5,11300.0,11162.5,139,1566745.0,11265.0,17:00:01,CEDEARS
BIIBD,MEP,48hs,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BIOX,ARS,CI,13800.0,14290.0,13840.0,3.28,14200.0,14510.0,13800.0,15,213410.0,13401.0,16:30:00,CEDEARS
BIOX,ARS,24hs,13000.0,14900.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BIOX,ARS,48hs,1000.0,14050.0,13867.5,-0.09,13880.0,14163.5,13516.0,1090,15192637.0,13880.0,17:00:02,CEDEARS
BIOXD,MEP,CI,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BIOXD,MEP,48hs,26.35,31.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BITF,ARS,CI,2795.0,5000.0,4757.0,-0.47,4800.0,4900.0,4745.0,69,329833.0,4779.5,16:30:00,CEDEARS
BITF,ARS,48hs,2520.0,5600.0,4891.0,2.33,4621.0,4970.0,4621.0,3492,16818029.0,4779.5,17:00:02,CEDEARS
BITFD,MEP,48hs,9.79,11.8,9.74,1.46,9.74,9.74,9.74,1,9.0,9.6,17:00:02,CEDEARS
BK,ARS,CI,11611.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
