user;tipo;plazo;activo;especie;fecha;cotiz_mep;operacion;cantidad;precio_ars;precio_usd
admin;MERVAL;48hs;HARG;HARG;2023-6-26 17:00:00+00:00;478,81;Venta;-190;475;0,987525988
admin;MERVAL;48hs;TRAN;TRAN;2023-6-26 17:00:00+00:00;478,81;Venta;-362;350;0,727650728
admin;CEDEARS;48hs;DISN;DISN;2023-6-27 17:00:00+00:00;479,77;Compra;85;3792,5;7,920678348
admin;CEDEARS;48hs;GOOGL;GOGLD;2023-6-27 17:00:00+00:00;479,77;Venta;-197;1039,0177;2,17
admin;ONS;48hs;IRCFO;IRCFD;2023-6-28 17:00:00+00:00;481,79;Compra;732;491,044595;1,0235
admin;ONS;48hs;IRCFO;IRCFO;2023-6-28 17:00:00+00:00;481,79;Venta;-732;495;1,031744378
admin;ONS;48hs;MRCAO;MRCAO;2023-6-28 17:00:00+00:00;481,79;Compra;981;369;0,769118536
admin;CEDEARS;48hs;GOLD;GOLDD;2023-6-29 17:00:00+00:00;482,65;Venta;-6;8816,757;18,3
admin;CEDEARS;48hs;AMZN;AMZND;2023-7-3 17:00:00+00:00;483,48;Venta;-627;482,52;1
admin;CEDEARS;48hs;GOLD;GOLDD;2023-6-29 17:00:00+00:00;482,65;Venta;-9;9049,6875;18,75
admin;CEDEARS;48hs;BA.C;BA.CD;2023-7-4 17:00:00+00:00;483,41;Venta;-35;7904,898;16,35
admin;ONS;48hs;MRCAO;MRCAD;2023-7-6 17:00:00+00:00;482,16;Compra;319;375,12616;0,776
admin;ONS;48hs;TLC1O;TLC1D;2023-7-6 17:00:00+00:00;482,16;Compra;1000;493,0782;1,02
admin;ONS;48hs;DNC2O;DNC2D;2023-7-6 17:00:00+00:00;482,16;Compra;250;476,2660099;1,015
admin;CEDEARS;48hs;KO;KOD;2023-7-11 17:00:00+00:00;484,06;Compra;30;6004,204;12,4
admin;CEDEARS;48hs;C;C;2023-7-11 17:00:00+00:00;484,06;Compra;22;7940;16,39784391
