user;tipo;plazo;activo;especie;fecha;cotiz_mep;operacion;cantidad;precio_ars;precio_usd;total_ars;total_usd
admin;BONOS;CI;GD30;GD30;2023-1-13 17:00:00-03:00;340,23;Compra;1.771;107,2907;0,315347559;0;0
admin;BONOS;CI;GD30;GD30D;2023-1-19 17:00:00-03:00;332,83;Venta;-1.771;121,598529;0,365347261;0;0
admin;CEDEARS;48hs;GOOGL;GOGLD;2023-1-27 17:00:00-03:00;352,78;Compra;115;624,4206;1,77;0;0
admin;ONS;48hs;IRCFO;IRCFO;2023-2-7 17:00:00-03:00;353,2;Compra;60;377,0277;1,067462344;0;0
admin;ONS;48hs;YMCHO;YMCHO;2023-2-7 17:00:00-03:00;353,2;Compra;74;366,5316;1,037745187;0;0
admin;CEDEARS;48hs;GOLD;GOLDD;2023-2-7 17:00:00-03:00;353,2;Compra;6;6728,46;19,05;0;0
admin;CEDEARS;48hs;GOOGL;GOOGL;2023-2-10 17:00:00-03:00;354,15;Compra;82;605,59;1,709981646;0;0
admin;ONS;48hs;YMCHO;YMCHD;2023-2-14 17:00:00-03:00;355,28;Renta;0;0;0;-414,6652;-1,16
admin;ONS;48hs;YMCHO;YMCHD;2023-2-14 17:00:00-03:00;355,28;Amortización;0;0;0;-2034,0043;-5,69
admin;ONS;48hs;YMCJO;YMCJD;2023-2-16 17:00:00-03:00;357,61;Compra;125;285,193975;0,7975;0;0
admin;CEDEARS;48hs;BRKB;BRKB;2023-3-8 17:00:00-03:00;372,86;Compra;10;5370,193;14,40270611;0;0
admin;ONS;48hs;YMCJO;YMCJD;2023-3-8 17:00:00-03:00;372,86;Compra;65;283,3736;0,76;0;0
admin;CEDEARS;48hs;XOM;XOM;2023-3-15 17:00:00-03:00;383,31;Compra;8;8052,788;21,00855182;0;0
admin;CEDEARS;48hs;GOLD;GOLDD;2023-3-17 17:00:00-03:00;388,84;Dividendo;0;0;0;-162,92;-0,41
admin;ONS;48hs;TLC1O;TLC1D;2023-3-27 17:00:00-03:00;376,4;Compra;1.000;371,90202;0,98805;0;0
admin;CEDEARS;48hs;BRKB;BRKBD;2023-3-30 17:00:00-03:00;391,82;Compra;30;5544,253;14,15;0;0
admin;ONS;48hs;YMCJO;YMCJD;2023-3-31 17:00:00-03:00;397,37;Renta;0;0;0;-1589,48;-4
admin;CEDEARS;48hs;AMZN;AMZND;2023-4-3 17:00:00-03:00;396,94;Compra;627;286,19374;0,721;0;0
admin;CEDEARS;48hs;PYPL;PYPLD;2023-4-3 17:00:00-03:00;396,94;Compra;48;3830,471;9,65;0;0
admin;CEDEARS;48hs;XOM;XOMD;2023-4-3 17:00:00-03:00;396,94;Venta;-4;9526,56;24;0;0
admin;CEDEARS;48hs;XOM;XOMD;2023-4-4 17:00:00-03:00;402,41;Venta;-4;9738,322;24,2;0;0
admin;CEDEARS;48hs;GOLD;GOLDD;2023-4-13 17:00:00-03:00;388,14;Venta;-6;8015,091;20,65;0;0
admin;CEDEARS;48hs;PFE;PFED;2023-4-21 17:00:00-03:00;437,75;Compra;15;9017,65;20,6;0;0
admin;ONS;48hs;IRCFO;IRCFD;2023-4-24 17:00:00-03:00;449,02;Compra;390;471,92002;1,051;0;0
admin;CEDEARS;48hs;PFE;PFED;2023-5-3 17:00:00-03:00;429,46;Venta;-15;9018,66;21;0;0
